video_id,user_id,username,hashtag
7652599192199630087,6976048332910511109,luisssalamanca,firmesporlapatria
7652599192199630087,6976048332910511109,luisssalamanca,nomascomunismo
7652510598206459154,7298672951464985606,revista.pas.justo,firmesporlapatria
7652510598206459154,7298672951464985606,revista.pas.justo,abelardodelaespriella
7652510598206459154,7298672951464985606,revista.pas.justo,elecciones2026
7652916598998600980,7647188672273597461,firmesporlapatria_21,firmesporlapatria
7652916598998600980,7647188672273597461,firmesporlapatria_21,abelardopresidente
7652965417836612882,7051854010932331525,outofcontexttt__,ivancepeda
7652965417836612882,7051854010932331525,outofcontexttt__,abelardodelaespriella
7652965417836612882,7051854010932331525,outofcontexttt__,firmesporlapatria
7652965417836612882,7051854010932331525,outofcontexttt__,colombia
7652723809761381639,6806764584776795141,yelirueda,viral
7652723809761381639,6806764584776795141,yelirueda,firmesporlapatria
7652780930653801749,6813508098385708038,nidlop,firnesporlapatria
7652780930653801749,6813508098385708038,nidlop,colombia
7652780930653801749,6813508098385708038,nidlop,mundial2026
7652780930653801749,6813508098385708038,nidlop,abelardopresidente
7652780930653801749,6813508098385708038,nidlop,futbol
7646451069886729490,7251388424736621573,user9746763276869,abelardodelaespriella
7646451069886729490,7251388424736621573,user9746763276869,firmeporlapatria
7652936932355362069,7159915022269121541,viviana.ortega028,colombia🇨🇴
7652936932355362069,7159915022269121541,viviana.ortega028,abelardopresidente
7652936932355362069,7159915022269121541,viviana.ortega028,soniarestrepo
7652936932355362069,7159915022269121541,viviana.ortega028,yeisonjimenez
7652936932355362069,7159915022269121541,viviana.ortega028,firmesporlapatria
7653125122496285983,6880948643240756226,futbolymastv,colombianosenelexterior
7653125122496285983,6880948643240756226,futbolymastv,ivancepeda
7653125122496285983,6880948643240756226,futbolymastv,colombia
7653125122496285983,6880948643240756226,futbolymastv,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
7653125122496285983,6880948643240756226,futbolymastv,firmesporlapatria
7651844328398130453,7616012990630446096,firmesporlapatria3,abelardodelaespriella
7651844328398130453,7616012990630446096,firmesporlapatria3,abelardopresidente
7651844328398130453,7616012990630446096,firmesporlapatria3,firmesporlapatria
7651844328398130453,7616012990630446096,firmesporlapatria3,colombia
7651844328398130453,7616012990630446096,firmesporlapatria3,eleccionespresidenciales
7652917854769024276,6906726846541808645,yaridduo,liveincentiveprogram
7652917854769024276,6906726846541808645,yaridduo,liveiseasy
7652917854769024276,6906726846541808645,yaridduo,paidpartnership
7652917854769024276,6906726846541808645,yaridduo,firmeporlapatria
7652917854769024276,6906726846541808645,yaridduo,colombia
7652903259497057567,7259495206121997355,alejafajardousa,viral
7652903259497057567,7259495206121997355,alejafajardousa,fyp
7652903259497057567,7259495206121997355,alejafajardousa,firmesporlapatria
7641730935532047623,6865073189371708418,soyalejariano,colombia
7641730935532047623,6865073189371708418,soyalejariano,eleccionespresidenciales
7641730935532047623,6865073189371708418,soyalejariano,derecha
7641730935532047623,6865073189371708418,soyalejariano,izquierda
7641730935532047623,6865073189371708418,soyalejariano,mamertos
7651843858078158088,7651790015655953416,cambiacolombia3,estupideces
7651843858078158088,7651790015655953416,cambiacolombia3,mamertos
7652698351619624223,7283109080691295275,karl42881,firmesporlapatria
7652698351619624223,7283109080691295275,karl42881,elecciones2026colombia
7652698351619624223,7283109080691295275,karl42881,colombianosenelexterior
7652698351619624223,7283109080691295275,karl42881,gobiernocolombiano
7652698351619624223,7283109080691295275,karl42881,mamertos
7138213669107813638,6941473199290074118,antizurdosoficial,mamertosvagos
7138213669107813638,6941473199290074118,antizurdosoficial,doblemoralzurda
7138213669107813638,6941473199290074118,antizurdosoficial,doblemoralcanalcaracol
7138213669107813638,6941473199290074118,antizurdosoficial,doblemoralpetro
7138213669107813638,6941473199290074118,antizurdosoficial,doblemoralpetrista
7138213669107813638,6941473199290074118,antizurdosoficial,mamertoshp
7138213669107813638,6941473199290074118,antizurdosoficial,mamertosvagos
7138213669107813638,6941473199290074118,antizurdosoficial,revistasemana
7643255208889290004,6796057969681449989,_juanis_vv_,mamertos
7643255208889290004,6796057969681449989,_juanis_vv_,ivancepeda
7165638733650234630,6792722885028643845,mariafernandacabal,soyopositor
7165638733650234630,6792722885028643845,mariafernandacabal,soycabal
7600573218189053191,7385285727423431686,mamertos2.0,mamertos
7600573218189053191,7385285727423431686,mamertos2.0,zurdos
7600573218189053191,7385285727423431686,mamertos2.0,love
7600573218189053191,7385285727423431686,mamertos2.0,viraltiktok
7600573218189053191,7385285727423431686,mamertos2.0,antipetrista
7478458078078323974,6796057969681449989,_juanis_vv_,mamertos
7478458078078323974,6796057969681449989,_juanis_vv_,petrosky
7478458078078323974,6796057969681449989,_juanis_vv_,parariiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
